Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Icarus Theatre Collective,R&D for Orlando Descends,"£43,362",8-Mar-23,March,Q4,South East,Buckinghamshire,Music,"£30,000 and below",
Yifan He,Sword and Kisses. A physical multi-media exhibition at Staffordshire St,"£5,581",8-Mar-23,March,Q4,London,City of London,Visual arts,"£30,000 and below",
Queer Youth Art Collective CIC,Development and Programming 2023,"£58,099",8-Mar-23,March,Q4,London,Southwark,Combined arts,"Above £30,000",
Pierre Shaw,Active Works,"£21,767",8-Mar-23,March,Q4,London,Haringey,Combined arts,"£30,000 and below",
Kandinsky Theatre Company,BFFs - School & Community co-creation project and touring show,"£25,150",8-Mar-23,March,Q4,London,Southwark,Theatre,"£30,000 and below",
Cath Muldowney,"Dreams, and songs to sing.","£14,651",8-Mar-23,March,Q4,North,Bradford,Visual arts,"£30,000 and below",
Eliot Smith Company,ESD Presents: PAUL TAYLOR,"£20,000",8-Mar-23,March,Q4,North,Gateshead,Dance,"£30,000 and below",
Museum of Carpet,Building a Resilient Future,"£64,498",8-Mar-23,March,Q4,Midlands,Wyre Forest,Museums,"Above £30,000",
Nancy Roberts,"The next stages of start-up & org. dev. for newly founded Dance Production Company, NMR PRODUCTIONS","£36,657",8-Mar-23,March,Q4,London,Haringey,Dance,"£30,000 and below",
Elevator Arts CIC,BLAST,"£24,934",8-Mar-23,March,Q4,South East,Southend-on-Sea,Theatre,"£30,000 and below",
Levenshulme Old Library CIO,Levolution - Emerging Artist Programme,"£4,185",8-Mar-23,March,Q4,North,Manchester,Combined arts,"£30,000 and below",
Matthew Smith,Ascension Exhibition,"£2,450",8-Mar-23,March,Q4,London,Barnet,Visual arts,"£30,000 and below",
Garry Cook,2023 Lancashire Outdoor Photography Festival,"£30,000",8-Mar-23,March,Q4,North,Hyndburn,Visual arts,"£30,000 and below",
Mark Croasdale,Barbara: Talking Well About Dementia R&D (resubmission),"£22,650",8-Mar-23,March,Q4,North,Cheshire East,Combined arts,"£30,000 and below",
Fatma Abdurahman,BPOC Artist Recovery Club,"£12,193",8-Mar-23,March,Q4,London,Hackney,Combined arts,"£30,000 and below",
St Augustines Centre,"Arts, Culture and Compassion","£22,823",8-Mar-23,March,Q4,North,Calderdale,Visual arts,"£30,000 and below",
Clerkenwell Green Association T/A Craft Central,Craft in Common,"£47,500",8-Mar-23,March,Q4,London,Tower Hamlets,Combined arts,"Above £30,000",
Louisa Doyle,Poster Boy R&D,"£12,946",8-Mar-23,March,Q4,London,Hackney,Theatre,"£30,000 and below",
DisOrdinary Architecture,Disabled artists making truly accessible spaces and events,"£28,280",8-Mar-23,March,Q4,London,Islington,Visual arts,"£30,000 and below",
Spymonkey,Spymonkey's Hairy - Resubmission,"£24,500",8-Mar-23,March,Q4,Midlands,Worthing,Theatre,"£30,000 and below",
Calista Georget,The Quickening - a new piece of music-theatre celebrating Jewish and LGBTQ+ history,"£29,775",8-Mar-23,March,Q4,South East,Horsham,Theatre,"£30,000 and below",
Persona Arts,The Flying Dutchman 2022-24,"£56,000",8-Mar-23,March,Q4,Midlands,Birmingham,Music,"Above £30,000",
Deborah Holman,Blackness on Film,"£4,190",8-Mar-23,March,Q4,London,Islington,Visual arts,"£30,000 and below",
JW3 Trust Ltd,Little Amal's Gathering,"£29,975",8-Mar-23,March,Q4,London,Camden,Combined arts,"£30,000 and below",
Leamington Art in the Park Festival,Art in the Park: power of the present,"£89,498",8-Mar-23,March,Q4,Midlands,Warwick,Combined arts,"Above £30,000",
The Norton Priory Museum Trust,Unlocking Norton's Collections,"£16,389",8-Mar-23,March,Q4,North,Halton,Museums,"£30,000 and below",Unlocking Collections
Chichester Community Development Trust,Foot in the Door,"£29,500",8-Mar-23,March,Q4,South East,Chichester,Music,"£30,000 and below",Supporting Grassroots Live Music
Rosie Bowden,Soapbox Racer,"£23,215",8-Mar-23,March,Q4,North,Northumberland,Theatre,"£30,000 and below",
Maya Gandaia Ltd,The Rainbow Butterfly,"£26,700",8-Mar-23,March,Q4,South West,Leeds,Dance,"£30,000 and below",
Bobak Walker,Islamajam,"£28,833",8-Mar-23,March,Q4,North,Leeds,Dance,"£30,000 and below",
Orchestra of the Swan,A Gateway to Classical Music,"£82,145",8-Mar-23,March,Q4,Midlands,Stratford-on-Avon,Music,"Above £30,000",
Beverley Bishop,Peacham and Me,"£16,659",8-Mar-23,March,Q4,South East,North Norfolk,Theatre,"£30,000 and below",
Beatrice Anderson Haggart,Poppyland Songs Tour,"£14,446",8-Mar-23,March,Q4,South East,North Norfolk,Music,"£30,000 and below",
Célia Roux,0.14,"£27,423",8-Mar-23,March,Q4,North,Trafford,Theatre,"£30,000 and below",
Off The Chest,Project Growth,"£27,852",8-Mar-23,March,Q4,South East,Lewes,Literature,"£30,000 and below",
Charanga del Norte,Charanga del Norte,"£14,482",8-Mar-23,March,Q4,North,Leeds,Music,"£30,000 and below",
Bankley Gallery,Bankley Exchanges 2023,"£13,685",8-Mar-23,March,Q4,North,Manchester,Visual arts,"£30,000 and below",
Howdenshire Music Project 2022,Howdenshire Music Programme 2022,"£10,700",8-Mar-23,March,Q4,North,East Riding of Yorkshire,Music,"£30,000 and below",Supporting Grassroots Live Music
Soothsayers,Youthsayers South,"£50,000",8-Mar-23,March,Q4,London,Lambeth,Music,"Above £30,000",
Rochester Choral Society,Somerset Tour of New Medway Choral Composition,"£9,050",8-Mar-23,March,Q4,South East,Swale,Music,"£30,000 and below",
Nicola Dale,Head On,"£7,160",8-Mar-23,March,Q4,North,Stockport,Visual arts,"£30,000 and below",
Goat and Monkey Productions,Morning-Tide,"£29,000",8-Mar-23,March,Q4,South East,Lewes,Combined arts,"£30,000 and below",
The Great Escape Festival,The Great Escape Elevate 2023,"£29,968",8-Mar-23,March,Q4,London,Islington,Music,"£30,000 and below",
The Ruined Theatre C.I.C,Theatre for Abbey Wood and Thamesmead,"£60,738",8-Mar-23,March,Q4,London,Bexley,Theatre,"Above £30,000",
Now Play This CIC,Now Play This 2023: Games and Love,"£39,826",8-Mar-23,March,Q4,London,Croydon,Combined arts,"Above £30,000",
Maison Foo,A CREATIVE SANCTUARY COMMUNITY,"£31,295",7-Mar-23,March,Q4,Midlands,Derby,Theatre,"£30,000 and below",
MProductiontime2show,M Carnival Production,"£35,000",7-Mar-23,March,Q4,Midlands,Mansfield,Combined arts,"£30,000 and below",
Roo Kaur Dhissou,Courses for Dis-course(s),"£57,630",7-Mar-23,March,Q4,Midlands,Birmingham,Visual arts,"£30,000 and below",
Omar Khan,Mr Burns: A Post Electric Play,"£24,655",7-Mar-23,March,Q4,Midlands,Derby,Theatre,"£30,000 and below",
Eyam Museum,Unlocking Eyam Museum's Collection,"£21,440",7-Mar-23,March,Q4,Midlands,Derbyshire Dales,Museums,"£30,000 and below",Unlocking Collections
Brighton Gay Mens Chorus,Brighton Gay Men's Chorus - growing for resilience,"£15,185",7-Mar-23,March,Q4,South East,Brighton and Hove,Music,"£30,000 and below",
Sajida Asif,Nature's Change,"£31,150",7-Mar-23,March,Q4,Midlands,Birmingham,Visual arts,"£30,000 and below",
Tom Wright,LGBTQ+ New Writing - The Oracle of Delphi,"£24,576",7-Mar-23,March,Q4,Midlands,Coventry,Theatre,"£30,000 and below",
Josie Sinnadurai,"“Orígenes” Flamenco Fusion Show; Research, Creation and Tour of new show which represents the evolution of flamenco and the influence other cultures had on its development as an art form","£19,259",7-Mar-23,March,Q4,Midlands,Powys,Dance,"£30,000 and below",
Making Space for Craft Ltd,Let's Create Leigh Park,"£61,556",6-Mar-23,March,Q4,South West,Havant,Visual arts,"Above £30,000",
